date,home_team,away_team,home_team_full,away_team_full,home_odds_dec,draw_odds_dec,away_odds_dec,home_implied,away_implied
2025-10-18,LAK,CAR,Los Angeles Kings,Carolina Hurricanes,2.7,4.0,2.05,33.4,44.0
2025-10-18,VGK,CGY,Vegas Golden Knights,Calgary Flames,1.6,4.5,3.9,56.6,23.2
2025-10-18,PHI,MIN,Philadelphia Flyers,Minnesota Wild,2.25,4.0,2.4,40.0,37.5
2025-10-18,MTL,NYR,Montreal Canadiens,NY Rangers,2.15,4.0,2.6,42.3,35.0
2025-10-18,WPG,NSH,Winnipeg Jets,Nashville Predators,1.8,4.2,3.2,50.2,28.3
2025-10-18,CBJ,TBL,Columbus Blue Jackets,Tampa Bay Lightning,2.15,4.0,2.5,41.7,35.9
2025-10-18,STL,DAL,St. Louis Blues,Dallas Stars,2.5,4.0,2.2,36.2,41.2
2025-10-18,TOR,SEA,Toronto Maple Leafs,Seattle Kraken,1.7,4.4,3.4,53.0,26.5
2025-10-19,CHI,ANA,Chicago Blackhawks,Anaheim Ducks,2.5,4.2,2.1,35.9,42.7
2025-10-19,UTA,BOS,Utah Mammoth,Boston Bruins,1.67,4.4,3.5,53.9,25.7
2025-10-20,VGK,CAR,Vegas Golden Knights,Carolina Hurricanes,2.3,4.0,2.38,39.3,38.0
2025-10-20,MTL,BUF,Montreal Canadiens,Buffalo Sabres,1.95,4.2,2.8,46.3,32.2
2025-10-20,CGY,WPG,Calgary Flames,Winnipeg Jets,2.75,4.0,2.0,32.7,44.9
2025-10-20,NYR,MIN,NY Rangers,Minnesota Wild,2.0,4.0,2.8,45.2,32.3
2025-10-20,PHI,SEA,Philadelphia Flyers,Seattle Kraken,2.1,4.0,2.7,43.4,33.8
2025-10-21,UTA,COL,Utah Mammoth,Colorado Avalanche,2.8,4.0,2.0,32.3,45.2
2025-10-21,NYI,SJS,NY Islanders,San Jose Sharks,1.65,4.5,3.7,55.2,24.6
